-5.172414 -1.931034 -1.400022 
-5.174337 -1.851479 -1.324464 
-5.176220 -1.772001 -1.249000 
-5.178060 -1.692599 -1.173628 
-5.179853 -1.613274 -1.098346 
-5.181594 -1.534023 -1.023149 
-5.183280 -1.454846 -0.948035 
-5.184906 -1.375741 -0.872998 
-5.186468 -1.296707 -0.798035 
-5.187963 -1.217740 -0.723139 
-5.189386 -1.138840 -0.648304 
-5.190734 -1.060002 -0.573525 
-5.192003 -0.981224 -0.498794 
-5.193190 -0.902504 -0.424102 
-5.194290 -0.823836 -0.349443 
-5.195302 -0.745219 -0.274807 
-5.196221 -0.666647 -0.200185 
-5.197045 -0.588117 -0.125567 
-5.197773 -0.509624 -0.050944 
-5.198400 -0.431164 0.023697 
-5.198926 -0.352732 0.098365 
-5.199349 -0.274323 0.173072 
-5.199667 -0.195932 0.247830 
-5.199880 -0.117554 0.322649 
-5.199986 -0.039184 0.397543 
-5.199986 0.039183 0.472523 
-5.199880 0.117554 0.547600 
-5.199667 0.195932 0.622787 
-5.199349 0.274323 0.698095 
-5.198926 0.352732 0.773536 
-5.198400 0.431164 0.849120 
-5.197773 0.509624 0.924859 
-5.197045 0.588116 1.000763 
-5.196221 0.666646 1.076842 
-5.195302 0.745218 1.153106 
-5.194290 0.823836 1.229562 
-5.193190 0.902503 1.306219 
-5.192003 0.981223 1.383084 
-5.190734 1.060001 1.460165 
-5.189386 1.138839 1.537468 
-5.187963 1.217740 1.614997 
-5.186468 1.296706 1.692757 
-5.184906 1.375741 1.770752 
-5.183280 1.454846 1.848985 
-5.181594 1.534022 1.927459 
-5.179853 1.613273 2.006174 
-5.178060 1.692599 2.085132 
-5.176220 1.772000 2.164333 
-5.174337 1.851478 2.243776 
-5.172414 1.931034 2.323460 

-4.973539 -1.925928 -1.403883 
-4.975669 -1.846467 -1.328634 
-4.977758 -1.767094 -1.253498 
-4.979803 -1.687808 -1.178473 
-4.981797 -1.608610 -1.103557 
-4.983737 -1.529497 -1.028747 
-4.985619 -1.450469 -0.954039 
-4.987436 -1.371524 -0.879428 
-4.989185 -1.292660 -0.804910 
-4.990860 -1.213875 -0.730479 
-4.992457 -1.135166 -0.656128 
-4.993971 -1.056531 -0.581850 
-4.995399 -0.977966 -0.507638 
-4.996735 -0.899467 -0.433483 
-4.997975 -0.821031 -0.359375 
-4.999116 -0.742653 -0.285304 
-5.000154 -0.664329 -0.211261 
-5.001085 -0.586054 -0.137233 
-5.001908 -0.507822 -0.063209 
-5.002617 -0.429629 0.010823 
