-4.900000 -4.895920 -4.891681 -4.887286 -4.882739 -4.878049 -4.873225 -4.868282 -4.863238 -4.858116 -4.852941 -4.847747 -4.842569 -4.837451 -4.832440 -4.827586 -4.822946 -4.818578 -4.814540 -4.810893 -4.807693 -4.804992 -4.802839 -4.801272 -4.800320 -4.800000 -4.800320 -4.801272 -4.802839 -4.804992 -4.807693 -4.810893 -4.814540 -4.818578 -4.822946 -4.827586 -4.832440 -4.837451 -4.842569 -4.847747 -4.852941 -4.858116 -4.863238 -4.868282 -4.873225 -4.878049 -4.882739 -4.887286 -4.891681 -4.895920 
-4.700083 -4.695834 -4.691403 -4.686793 -4.682006 -4.677049 -4.671932 -4.666667 -4.661272 -4.655769 -4.650187 -4.644560 -4.638927 -4.633334 -4.627834 -4.622486 -4.617352 -4.612500 -4.608000 -4.603922 -4.600333 -4.597298 -4.594872 -4.593104 -4.592028 -4.591667 -4.592028 -4.593103 -4.594872 -4.597298 -4.600333 -4.603922 -4.608000 -4.612500 -4.617352 -4.622486 -4.627834 -4.633334 -4.638927 -4.644560 -4.650187 -4.655769 -4.661272 -4.666667 -4.671932 -4.677049 -4.682006 -4.686793 -4.691403 -4.695834 
-4.500347 -4.495928 -4.491305 -4.486476 -4.481444 -4.476212 -4.470787 -4.465182 -4.459414 -4.453504 -4.447481 -4.441380 -4.435244 -4.429124 -4.423077 -4.417171 -4.411476 -4.406071 -4.401039 -4.396461 -4.392419 -4.388991 -4.386246 -4.384241 -4.383019 -4.382609 -4.383019 -4.384241 -4.386246 -4.388991 -4.392419 -4.396461 -4.401039 -4.406071 -4.411476 -4.417171 -4.423077 -4.429124 -4.435244 -4.441380 -4.447481 -4.453504 -4.459414 -4.465182 -4.470787 -4.476212 -4.481444 -4.486476 -4.491305 -4.495928 
-4.300812 -4.296227 -4.291412 -4.286364 -4.281082 -4.275566 -4.269823 -4.263862 -4.257698 -4.251352 -4.244853 -4.238236 -4.231547 -4.224842 -4.218183 -4.211645 -4.205310 -4.199271 -4.193622 -4.188462 -4.183891 -4.180001 -4.176877 -4.174591 -4.173196 -4.172728 -4.173196 -4.174591 -4.176877 -4.180001 -4.183890 -4.188462 -4.193622 -4.199271 -4.205310 -4.211645 -4.218183 -4.224841 -4.231547 -4.238236 -4.244853 -4.251352 -4.257698 -4.263862 -4.269823 -4.275566 -4.281082 -4.286364 -4.291412 -4.296227 
-4.101501 -4.096756 -4.091753 -4.086487 -4.080953 -4.075150 -4.069078 -4.062746 -4.056165 -4.049355 -4.042343 -4.035166 -4.027870 -4.020514 -4.013168 -4.005916 -3.998851 -3.992080 -3.985715 -3.979875 -3.974679 -3.970242 -3.966667 -3.964046 -3.962444 -3.961905 -3.962444 -3.964046 -3.966667 -3.970242 -3.974679 -3.979875 -3.985715 -3.992080 -3.998851 -4.005916 -4.013168 -4.020514 -4.027870 -4.035166 -4.042343 -4.049355 -4.056165 -4.062746 -4.069078 -4.075150 -4.080953 -4.086487 -4.091753 -4.096756 
-3.902440 -3.897542 -3.892358 -3.886879 -3.881095 -3.875001 -3.868595 -3.861879 -3.854863 -3.847562 -3.840001 -3.832216 -3.824254 -3.816177 -3.808062 -3.800001 -3.792101 -3.784484 -3.777284 -3.770643 -3.764707 -3.759616 -3.755502 -3.752476 -3.750624 -3.750001 -3.750624 -3.752476 -3.755502 -3.759616 -3.764707 -3.770643 -3.777284 -3.784484 -3.792101 -3.800001 -3.808062 -3.816177 -3.824254 -3.832216 -3.840001 -3.847562 -3.854863 -3.861879 -3.868595 -3.875001 -3.881095 -3.886879 -3.892358 -3.897542 
-3.703652 -3.698613 -3.693259 -3.687575 -3.681547 -3.675165 -3.668422 -3.661315 -3.653847 -3.646030 -3.637885 -3.629444 -3.620756 -3.611882 -3.602906 -3.593927 -3.585069 -3.576472 -3.568294 -3.560706 -3.553887 -3.548012 -3.543244 -3.539727 -3.537570 -3.536843 -3.537570 -3.539727 -3.543244 -3.548012 -3.553887 -3.560706 -3.568294 -3.576472 -3.585069 -3.593927 -3.602906 -3.611882 -3.620756 -3.629444 -3.637885 -3.646030 -3.653847 -3.661315 -3.668422 -3.675165 -3.681547 -3.687575 -3.693259 -3.698613 
-3.505164 -3.500001 -3.494491 -3.488615 -3.482354 -3.475692 -3.468614 -3.461112 -3.453182 -3.444829 -3.436066 -3.426924 -3.417445 -3.407693 -3.397754 -3.387737 -3.377779 -3.368042 -3.358714 -3.350001 -3.342121 -3.335295 -3.329731 -3.325611 -3.323078 -3.322223 -3.323078 -3.325611 -3.329731 -3.335295 -3.342121 -3.350001 -3.358714 -3.368042 -3.377779 -3.387737 -3.397754 -3.407693 -3.417445 -3.426924 -3.436066 -3.444829 -3.453182 -3.461112 -3.468614 -3.475692 -3.482354 -3.488615 -3.494491 -3.500001 
-3.307003 -3.301735 -3.296089 -3.290040 -3.283562 -3.276634 -3.269232 -3.261338 -3.252942 -3.244038 -3.234631 -3.224743 -3.214411 -3.203696 -3.192684 -3.181492 -3.170271 -3.159208 -3.148522 -3.138462 -3.129300 -3.121312 -3.114766 -3.109899 -3.106897 -3.105883 -3.106897 -3.109899 -3.114766 -3.121312 -3.129300 -3.138462 -3.148522 -3.159208 -3.170271 -3.181492 -3.192684 -3.203696 -3.214411 -3.224743 -3.234631 -3.244038 -3.252942 -3.261338 -3.269232 -3.276634 -3.283562 -3.290040 -3.296089 -3.301735 
-3.109195 -3.103847 -3.098090 -3.091893 -3.085223 -3.078050 -3.070341 -3.062070 -3.053212 -3.043751 -3.033681 -3.023010 -3.011765 -3.000001 -2.987799 -2.975282 -2.962612 -2.950001 -2.937706 -2.926028 -2.915303 -2.905883 -2.898114 -2.892308 -2.888717 -2.887501 -2.888717 -2.892308 -2.898114 -2.905883 -2.915303 -2.926028 -2.937706 -2.950001 -2.962612 -2.975282 -2.987799 -3.000001 -3.011765 -3.023010 -3.033681 -3.043751 -3.053212 -3.062070 -3.070341 -3.078049 -3.085223 -3.091893 -3.098090 -3.103847 
