0.302001 0.150857 0.000643 -0.148420 -0.296093 -0.442123 -0.586252 -0.728218 -0.867776 -1.004702 -1.138810 -1.269961 -1.398077 -1.523138 -1.645189 -1.764328 -1.880698 -1.994472 -2.105841 -2.215000 -2.322145 -2.427463 -2.531136 -2.633335 -2.734228 -2.833973 -2.932726 -3.030634 -3.127838 -3.224471 -3.320655 
0.488839 0.335548 0.183145 0.031879 -0.117977 -0.266129 -0.412267 -0.556079 -0.697262 -0.835537 -0.970672 -1.102494 -1.230903 -1.355884 -1.477500 -1.595889 -1.711239 -1.823775 -1.933737 -2.041361 -2.146875 -2.250493 -2.352412 -2.452822 -2.551902 -2.649824 -2.746756 -2.842859 -2.938283 -3.033175 -3.127666 
0.675015 0.519355 0.364515 0.210772 0.058436 -0.092147 -0.240610 -0.386574 -0.529662 -0.669523 -0.805861 -0.938452 -1.067171 -1.192005 -1.313049 -1.430493 -1.544596 -1.655653 -1.763968 -1.869829 -1.973500 -2.075218 -2.175198 -2.273639 -2.370733 -2.466665 -2.561615 -2.655758 -2.749261 -2.842278 -2.934955 
0.860619 0.702350 0.544795 0.388261 0.233103 0.079718 -0.071454 -0.219949 -0.365296 -0.507047 -0.644813 -0.778300 -0.907344 -1.031934 -1.152210 -1.268445 -1.380999 -1.490270 -1.596648 -1.700483 -1.802075 -1.901679 -1.999520 -2.095802 -2.190725 -2.284486 -2.377280 -2.469297 -2.560720 -2.651720 -2.742451 
1.045778 0.884638 0.724062 0.564383 0.406001 0.249374 0.095026 -0.056475 -0.204535 -0.348572 -0.488066 -0.622616 -0.751997 -0.876197 -0.995427 -1.110084 -1.220683 -1.327774 -1.431862 -1.533372 -1.632632 -1.729902 -1.825399 -1.919324 -2.011879 -2.103273 -2.193719 -2.283428 -2.372602 -2.461428 -2.550075 
1.230659 1.066373 0.902441 0.739221 0.577152 0.416761 0.258663 0.103556 -0.047807 -0.194660 -0.336293 -0.472139 -0.601869 -0.725464 -0.843237 -0.955785 -1.063869 -1.168264 -1.269640 -1.368497 -1.465172 -1.559896 -1.652851 -1.744216 -1.834195 -1.923008 -2.010894 -2.098092 -2.184828 -2.271311 -2.357725 
1.415483 1.247765 1.080121 0.912923 0.746642 0.581868 0.419320 0.259846 0.104402 -0.045992 -0.190346 -0.327831 -0.457935 -0.580602 -0.696301 -0.805953 -0.910721 -1.011743 -1.109910 -1.205785 -1.299657 -1.391660 -1.481895 -1.570501 -1.657677 -1.743670 -1.828757 -1.913213 -1.997302 -2.081258 -2.165281 
1.600528 1.429096 1.257373 1.085726 0.914646 0.744771 0.576923 0.412116 0.251559 0.096612 -0.051322 -0.190985 -0.321527 -0.442786 -0.555455 -0.660998 -0.761275 -0.858018 -0.952424 -1.045052 -1.136005 -1.225198 -1.312580 -1.398225 -1.482346 -1.565240 -1.647246 -1.728698 -1.809905 -1.891132 -1.972596 
1.786144 1.610733 1.434570 1.257990 1.081473 0.905682 0.731518 0.560162 0.393115 0.232180 0.079363 -0.063376 -0.194551 -0.313699 -0.421807 -0.521284 -0.615265 -0.706516 -0.796634 -0.885967 -0.974122 -1.060573 -1.145022 -1.227490 -1.308247 -1.387697 -1.466282 -1.544422 -1.622482 -1.700759 -1.779491 
1.972754 1.793141 1.612206 1.430222 1.247612 1.065015 0.883358 0.703954 0.528597 0.359627 0.199895 0.052498 -0.079860 -0.195909 -0.296921 -0.386998 -0.471764 -0.555922 -0.641506 -0.728044 -0.813990 -0.898008 -0.979489 -1.058488 -1.135461 -1.211013 -1.285754 -1.360215 -1.434828 -1.509924 -1.585745 
2.160860 1.976887 1.790918 1.603114 1.413788 1.223470 1.033025 0.843793 0.657783 0.477888 0.308040 0.153097 0.018080 -0.093681 -0.183266 -0.257847 -0.328358 -0.403447 -0.485253 -0.570775 -0.655924 -0.738094 -0.816501 -0.891537 -0.964092 -1.035127 -1.105488 -1.175840 -1.246678 -1.318351 -1.391094 
2.351037 2.162645 1.971487 1.777567 1.581007 1.382132 1.181590 0.980558 0.781033 0.586274 0.401339 0.233524 0.092008 -0.014773 -0.085384 -0.132326 -0.179082 -0.243322 -0.325172 -0.414193 -0.501166 -0.582138 -0.656957 -0.727073 -0.794219 -0.859886 -0.925201 -0.990954 -1.057674 -1.125694 -1.195212 
2.543918 2.351180 2.154839 1.954691 1.750595 1.542543 1.330781 1.116021 0.899818 0.685228 0.477891 0.287647 0.130109 0.025361 -0.013579 -0.005850 -0.008645 -0.063753 -0.158434 -0.260688 -0.353043 -0.432567 -0.502144 -0.565530 -0.625759 -0.684939 -0.744431 -0.805071 -0.867347 -0.931523 -0.997717 
2.740173 2.543323 2.342008 2.135783 1.924178 1.706738 1.483103 1.253163 1.017406 0.777617 0.538368 0.310074 0.114810 -0.005886 0.002577 0.134054 0.226662 0.157807 0.012263 -0.119589 -0.218564 -0.292995 -0.353368 -0.406981 -0.458224 -0.509595 -0.562456 -0.617515 -0.675099 -0.735319 -0.798166 
